timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration,syn_flag,rst_flag,fin_flag,ack_flag,psh_flag,urg_flag,failed,scenario_id,label
1700201000.2788217,198.51.100.55,192.168.1.50,54770,6209,6,2,120,0.19714527876359864,1,1,0,0,0,0,True,trace_recon_01,PortScan
1700201000.655029,198.51.100.55,192.168.1.50,55732,8736,6,2,120,0.17623342948847706,1,1,0,0,0,0,True,trace_recon_01,PortScan
1700201000.6817696,198.51.100.55,192.168.1.50,46617,4170,6,2,120,0.14285575757774263,1,1,0,0,0,0,True,trace_recon_01,PortScan
1700201000.827273,198.51.100.55,192.168.1.50,41813,4247,6,1,60,0.18440167323943782,1,1,0,0,0,0,True,trace_recon_01,PortScan
1700201000.9352872,198.51.100.55,192.168.1.50,44610,9600,6,2,120,0.11897507170352173,1,1,0,0,0,0,True,trace_recon_01,PortScan
1700201001.3196754,198.51.100.55,192.168.1.50,50311,3722,6,2,120,0.09694059801016969,1,1,0,0,0,0,True,trace_recon_01,PortScan
1700201001.3550315,198.51.100.55,192.168.1.50,50453,5168,6,1,60,0.12725745906991653,1,0,0,0,0,0,False,trace_recon_01,PortScan
1700201001.8535378,198.51.100.55,192.168.1.50,47725,3812,6,1,60,0.13297883104475294,1,0,0,0,0,0,False,trace_recon_01,PortScan
1700201002.1163683,198.51.100.55,192.168.1.50,52071,124,6,2,120,0.07184640998377717,1,1,0,0,0,0,True,trace_recon_01,PortScan
1700201002.323015,198.51.100.55,192.168.1.50,46011,6050,6,1,60,0.11038883414037157,1,1,0,0,0,0,True,trace_recon_01,PortScan
1700201002.5239081,198.51.100.55,192.168.1.50,58469,2710,6,1,60,0.19491648070623657,1,1,0,0,0,0,True,trace_recon_01,PortScan
1700201002.8248436,198.51.100.55,192.168.1.50,49532,7105,6,1,60,0.168580748472263,1,0,0,0,0,0,False,trace_recon_01,PortScan
1700201003.710823,198.51.100.55,192.168.1.50,41604,3208,6,2,120,0.18620132800856865,1,1,0,0,0,0,True,trace_recon_01,PortScan
1700201003.850395,198.51.100.55,192.168.1.50,55656,4494,6,1,60,0.033784236874017146,1,0,0,0,0,0,False,trace_recon_01,PortScan
1700201004.2508795,198.51.100.55,192.168.1.50,47769,6566,6,2,120,0.15418345500410421,1,1,0,0,0,0,True,trace_recon_01,PortScan
1700201004.5634792,198.51.100.55,192.168.1.50,57203,7894,6,1,60,0.09614299164587148,1,1,0,0,0,0,True,trace_recon_01,PortScan
1700201004.8536003,198.51.100.55,192.168.1.50,40707,9542,6,1,60,0.16026216610161656,1,0,0,0,0,0,False,trace_recon_01,PortScan
1700201005.229954,198.51.100.55,192.168.1.50,50984,1719,6,2,120,0.0627960450990325,1,0,0,0,0,0,False,trace_recon_01,PortScan
1700201005.2523432,198.51.100.55,192.168.1.50,49336,7819,6,1,60,0.07258538275660671,1,1,0,0,0,0,True,trace_recon_01,PortScan
1700201005.9081702,198.51.100.55,192.168.1.50,59971,9988,6,1,60,0.02829607598032715,1,0,0,0,0,0,False,trace_recon_01,PortScan
1700201006.6804852,198.51.100.55,192.168.1.50,40511,5502,6,2,120,0.19641252632827463,1,0,0,0,0,0,False,trace_recon_01,PortScan
1700201007.256384,198.51.100.55,192.168.1.50,51256,87,6,1,60,0.19101428452629177,1,0,0,0,0,0,False,trace_recon_01,PortScan
1700201007.7753794,198.51.100.55,192.168.1.50,56539,564,6,2,120,0.16033296223167967,1,1,0,0,0,0,True,trace_recon_01,PortScan
1700201009.44536,198.51.100.55,192.168.1.50,44725,6538,6,1,60,0.02065600481474851,1,1,0,0,0,0,True,trace_recon_01,PortScan
