idx,scenario_id,current_stage,next_stage,is_transition,mse_pred_actual,l2_pred_actual,cos_sim_pred_actual,l2_predicted_movement,l2_actual_movement,cos_sim_ht_hnext
0,trace_benign_beta,BENIGN,BENIGN,False,0.38622379302978516,7.0311198234558105,0.7963941693305969,83.95091247558594,85.68457794189453,0.712324321269989
1,trace_benign_beta,BENIGN,BENIGN,False,0.1496105045080185,4.3760881423950195,0.9241513609886169,78.34247589111328,78.70452880859375,0.712480902671814
2,trace_benign_beta,BENIGN,BENIGN,False,0.08268857002258301,3.2533271312713623,0.9592626094818115,84.51768493652344,84.07095336914062,0.710388720035553
3,trace_benign_beta,BENIGN,BENIGN,False,0.21068568527698517,5.193049907684326,0.8911309242248535,86.01570892333984,86.8249740600586,0.7062106728553772
4,trace_benign_beta,BENIGN,BENIGN,False,0.2860783338546753,6.05128288269043,0.8516310453414917,83.54009246826172,84.55198669433594,0.7101186513900757
5,trace_benign_beta,BENIGN,BENIGN,False,0.6008942127227783,8.770089149475098,0.6820037364959717,83.49565887451172,85.17768859863281,0.708125114440918
6,trace_benign_beta,BENIGN,BENIGN,False,0.2354041039943695,5.489236831665039,0.8780173063278198,92.1361312866211,91.33988189697266,0.6718100905418396
7,trace_benign_beta,BENIGN,BENIGN,False,0.07424301654100418,3.0827107429504395,0.963872492313385,94.12171936035156,93.97320556640625,0.6861873865127563
8,trace_benign_beta,BENIGN,BENIGN,False,0.19088707864284515,4.943029880523682,0.9011993408203125,91.43583679199219,91.0379409790039,0.7052834630012512
9,trace_benign_beta,BENIGN,BENIGN,False,0.071418896317482,3.0235111713409424,0.965348482131958,92.08699798583984,91.52094268798828,0.6919342279434204
10,trace_benign_beta,BENIGN,BENIGN,False,0.0487242117524147,2.49733829498291,0.9778401255607605,91.72075653076172,91.25709533691406,0.7001520991325378
11,trace_multistage_03,BENIGN,BENIGN,False,0.09364384412765503,3.462139844894409,0.9540112018585205,71.02202606201172,70.95024108886719,0.7071874737739563
12,trace_multistage_03,BENIGN,BENIGN,False,0.08173375576734543,3.2344892024993896,0.9597906470298767,80.93029022216797,80.71749114990234,0.7147589325904846
13,trace_multistage_03,BENIGN,RECONNAISSANCE,True,2.2192883491516113,16.85434341430664,-0.17092867195606232,77.88188171386719,87.88502502441406,0.7199053168296814
14,trace_multistage_03,RECONNAISSANCE,RECONNAISSANCE,False,0.16565865278244019,4.604813575744629,0.9174076318740845,92.74880981445312,93.130859375,0.7054077386856079
15,trace_multistage_03,RECONNAISSANCE,RECONNAISSANCE,False,0.1667710840702057,4.620248317718506,0.9168397784233093,92.94429016113281,93.33409118652344,0.7047847509384155
16,trace_multistage_03,RECONNAISSANCE,CREDENTIAL_ACCESS,True,1.916780948638916,15.66358757019043,0.014365636743605137,92.5791244506836,101.10189819335938,0.7016758918762207
17,trace_multistage_03,CREDENTIAL_ACCESS,CREDENTIAL_ACCESS,False,0.1905609369277954,4.93880558013916,0.903980553150177,100.4334945678711,100.77637481689453,0.646532416343689
18,trace_multistage_03,CREDENTIAL_ACCESS,CREDENTIAL_ACCESS,False,0.2961852550506592,6.157248497009277,0.8467925786972046,98.06513214111328,98.47953796386719,0.6349968314170837
19,trace_multistage_03,CREDENTIAL_ACCESS,LATERAL_MOVEMENT,True,2.165813446044922,16.650049209594727,-0.14180433750152588,95.33748626708984,104.96453094482422,0.6307383179664612
20,trace_multistage_03,LATERAL_MOVEMENT,LATERAL_MOVEMENT,False,0.039583608508110046,2.2509336471557617,0.9826934933662415,77.79773712158203,77.57215118408203,0.7664085626602173
21,trace_multistage_03,LATERAL_MOVEMENT,LATERAL_MOVEMENT,False,0.03501903638243675,2.1171765327453613,0.985048770904541,78.68680572509766,78.38418579101562,0.7688421010971069
22,trace_multistage_theta,BENIGN,BENIGN,False,0.1665753424167633,4.617536544799805,0.9147341847419739,90.85316467285156,91.4636001586914,0.6989467144012451
23,trace_multistage_theta,BENIGN,BENIGN,False,0.2991490662097931,6.187978744506836,0.8422326445579529,88.2453384399414,88.89288330078125,0.7062311768531799
24,trace_multistage_theta,BENIGN,RECONNAISSANCE,True,2.146181583404541,16.57441520690918,-0.13161639869213104,74.07075500488281,83.18930053710938,0.7017544507980347
25,trace_multistage_theta,RECONNAISSANCE,RECONNAISSANCE,False,0.1532161384820938,4.428506374359131,0.9237773418426514,93.27796936035156,93.62944030761719,0.7062938809394836
26,trace_multistage_theta,RECONNAISSANCE,RECONNAISSANCE,False,0.16704246401786804,4.624006271362305,0.9166940450668335,93.3802261352539,93.79429626464844,0.7046821713447571
27,trace_multistage_theta,RECONNAISSANCE,CREDENTIAL_ACCESS,True,1.9651076793670654,15.859816551208496,-0.009666036814451218,93.13478088378906,101.29640197753906,0.7019405364990234
28,trace_multistage_theta,CREDENTIAL_ACCESS,CREDENTIAL_ACCESS,False,0.12870058417320251,4.058777809143066,0.9369457960128784,100.00072479248047,99.43326568603516,0.6424753665924072
29,trace_multistage_theta,CREDENTIAL_ACCESS,CREDENTIAL_ACCESS,False,0.4931459128856659,7.9449782371521,0.741143524646759,100.72835540771484,101.95894622802734,0.6441766619682312
