timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration,syn_flag,rst_flag,fin_flag,ack_flag,psh_flag,urg_flag,failed,scenario_id,label
1700404000.287013,192.168.1.50,192.168.1.10,54205,139,6,21,8883,9.22644481973404,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
1700404000.456497,192.168.1.50,192.168.1.10,65129,445,6,60,27360,9.617417527872991,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
1700404000.650622,192.168.1.50,192.168.1.10,61261,139,6,32,6208,1.369511273832797,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
1700404000.6972828,192.168.1.50,192.168.1.10,51255,3389,6,76,36404,3.3883397588970845,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
1700404000.9194396,192.168.1.50,192.168.1.10,61709,139,6,61,30256,4.447164587628642,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
1700404001.2412083,192.168.1.50,192.168.1.10,59249,3389,6,46,27370,2.5681210537092234,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
1700404001.5246377,192.168.1.50,192.168.1.10,58196,139,6,79,39421,8.152086574939089,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
1700404001.654189,192.168.1.50,192.168.1.10,52148,445,6,46,20332,4.18416777179814,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
1700404001.7920947,192.168.1.50,192.168.1.10,60383,445,6,21,3360,6.885263469439135,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
1700404001.7929904,192.168.1.50,192.168.1.10,53506,445,6,65,28210,9.581928827410312,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
1700404001.8336258,192.168.1.50,192.168.1.10,56901,3389,6,30,6030,3.799975249493417,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
1700404002.1013465,192.168.1.50,192.168.1.10,55818,445,6,42,20874,7.185381196649867,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
1700404002.1863074,192.168.1.50,192.168.1.10,57438,3389,6,71,33512,8.361980384335656,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
1700404002.316463,192.168.1.50,192.168.1.10,60348,3389,6,35,16590,1.955460160988403,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
1700404003.0901542,192.168.1.50,192.168.1.10,56102,445,6,76,21432,8.818799511675394,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
1700404004.5600047,192.168.1.50,192.168.1.10,61305,3389,6,72,41472,8.146988984870486,1,0,1,1,1,0,False,trace_lateral_04,Infiltration
